Graph,Weight,Time
crd1000.mst,9059,3642.0258
crd1001.mst,8968,1643.3942
crd1002.mst,8387,3281.0847
crd1003.mst,9247,2558.1481
crd1004.mst,9154,2262.6672
crd1005.mst,7902,2457.2889
crd1006.mst,7663,3917.7042
crd1007.mst,8774,1623.6962
crd1008.mst,7753,1572.5391
crd1009.mst,8761,3224.0776
crd300.mst,4623,6.4931
crd301.mst,3852,2.1736
crd302.mst,4888,2.3606
crd303.mst,5143,4.9289
crd304.mst,4719,5.26
crd305.mst,4713,2.9765
crd306.mst,5173,4.7588
crd307.mst,4696,2.9159
crd308.mst,4204,2.0613
crd309.mst,4584,5.233
crd500.mst,6198,59.8807
crd501.mst,6575,72.3929
crd502.mst,5953,35.0961
crd503.mst,6116,59.4497
crd504.mst,5973,48.3923
crd505.mst,6415,73.2051
crd506.mst,6217,59.3662
crd507.mst,5599,24.3995
crd508.mst,6623,57.2828
crd509.mst,5574,32.9988
crd700.mst,7370,294.4805
crd701.mst,7311,273.6895
crd702.mst,7907,341.5595
crd703.mst,6937,312.3335
crd704.mst,7405,396.5649
crd705.mst,7601,222.6625
crd706.mst,7601,306.3842
crd707.mst,8250,561.735
crd708.mst,6746,226.7436
crd709.mst,7389,379.5686
graphe.mst,218,0.0345
shrd150.mst,1039,0.2109
shrd159.mst,1241,0.2324
shrd200.mst,2587,0.8678
shrd209.mst,2499,0.8912
shrd300.mst,5971,7.0872
shrd309.mst,6350,7.3692
str1000.mst,5191,1650.4377
str1001.mst,5295,2049.8555
str1002.mst,7281,2194.3457
str1003.mst,7358,2088.5962
str1004.mst,8990,4249.3011
str1005.mst,8966,2386.705
str1006.mst,10691,1846.9865
str1007.mst,10691,1875.9033
str1008.mst,12687,2589.7014
str1009.mst,12689,2923.2098
str300.mst,4268,5.1609
str301.mst,4213,3.3647
str302.mst,5808,2.9464
str303.mst,5781,3.3299
str304.mst,7161,4.9988
str305.mst,7281,3.3588
str306.mst,8793,5.2216
str307.mst,8553,4.2102
str308.mst,9871,5.9942
str309.mst,10049,6.5646
str500.mst,4525,99.6455
str501.mst,4651,52.0931
str502.mst,6237,52.4847
str503.mst,6176,67.2467
str504.mst,7726,75.7132
str505.mst,7788,55.5324
str506.mst,9298,52.3045
str507.mst,9303,85.6351
str508.mst,10910,76.7469
str509.mst,10866,59.3937
str700.mst,4899,259.9888
str701.mst,4798,415.0037
str702.mst,6575,255.0018
str703.mst,6571,218.5235
str704.mst,8471,401.9258
str705.mst,8248,406.047
str706.mst,9999,395.1177
str707.mst,10024,291.1877
str708.mst,11390,229.5243
str709.mst,11372,362.0174
sym300.mst,2146,3.1762
sym301.mst,1945,2.3799
sym302.mst,2519,2.9887
sym303.mst,2009,3.3782
sym304.mst,4107,4.7957
sym305.mst,3291,4.134
sym306.mst,2778,4.0827
sym307.mst,2055,2.2107
sym308.mst,4021,4.1567
sym309.mst,2735,3.0213
sym500.mst,3401,51.6379
sym501.mst,2867,37.1787
sym502.mst,3267,46.5217
sym503.mst,3862,59.2782
sym504.mst,3383,61.153
sym505.mst,3662,67.5073
sym506.mst,2971,94.6965
sym507.mst,3125,49.8021
sym508.mst,2614,39.4263
sym509.mst,2876,43.7923
sym700.mst,4370,368.3746
sym701.mst,3945,356.689
sym702.mst,3361,327.2095
sym703.mst,2333,186.989
sym704.mst,3069,253.3319
sym705.mst,2837,266.3671
sym706.mst,2517,297.2046
sym707.mst,3761,308.9917
sym708.mst,2901,267.4271
sym709.mst,3778,305.3722
